D,T,O,H,L,C,V
20190503,10:25:00,166.2700000,166.4300000,166.2300000,166.3300000,144580
20190503,10:30:00,166.3800000,166.4300000,166.1600000,166.3100000,112770
20190503,10:35:00,166.3100000,166.3400000,166.2000000,166.2800000,21200
20190503,10:40:00,166.2800000,166.3500000,166.2500000,166.3200000,101930
20190503,10:45:00,166.2700000,166.3500000,166.2600000,166.3400000,118680
20190503,10:50:00,166.3400000,166.3500000,166.2300000,166.2600000,30200
20190503,10:55:00,166.2800000,166.3500000,165.9100000,166.3200000,456900
20190503,11:00:00,166.3300000,166.6000000,166.3000000,166.4200000,245640
20190503,11:05:00,166.4300000,166.7800000,166.3600000,166.6700000,352940
20190503,11:10:00,166.6900000,166.7300000,166.4000000,166.6000000,208240
20190503,11:15:00,166.6000000,166.8000000,166.5000000,166.5200000,173690
20190503,11:20:00,166.5500000,166.8000000,166.5500000,166.6600000,78190
20190503,11:25:00,166.6900000,166.7500000,166.6000000,166.6300000,65500
20190503,11:30:00,166.6300000,166.6300000,166.4100000,166.4500000,189280
20190503,11:35:00,166.4900000,166.5000000,166.4000000,166.4200000,169630
20190503,11:40:00,166.4000000,166.4400000,166.2700000,166.3000000,114830
20190503,11:45:00,166.3000000,166.3300000,166.2500000,166.2800000,35000
20190503,11:50:00,166.2800000,166.5000000,166.2800000,166.4800000,262200
20190503,11:55:00,166.4900000,166.7400000,166.4600000,166.5700000,195210
20190503,12:00:00,166.5200000,166.7000000,166.4900000,166.6800000,125750
20190503,12:05:00,166.6800000,166.8100000,166.6700000,166.7500000,93560
20190503,12:10:00,166.7500000,166.8000000,166.6300000,166.6400000,22100
20190503,12:15:00,166.6700000,166.7400000,166.5400000,166.6200000,53940
20190503,12:20:00,166.6300000,166.8400000,166.6300000,166.7400000,64330
20190503,12:25:00,166.7600000,166.8600000,166.6700000,166.7400000,77070
20190503,12:30:00,166.7000000,166.7900000,166.5100000,166.7000000,57750
20190503,12:35:00,166.6600000,166.8000000,166.6600000,166.7400000,12840
20190503,12:40:00,166.7400000,166.7500000,166.7100000,166.7200000,15370
20190503,12:45:00,166.7200000,166.8800000,166.5000000,166.5500000,342880
20190503,12:50:00,166.6100000,166.6500000,166.5500000,166.6000000,36490
20190503,12:55:00,166.5500000,166.5900000,166.1200000,166.3400000,578170
20190503,13:00:00,166.3300000,166.5800000,166.3300000,166.4200000,43190
20190503,13:05:00,166.3900000,166.5600000,166.3900000,166.5000000,35510
20190503,13:10:00,166.5300000,166.5800000,166.5000000,166.5000000,5960
20190503,13:15:00,166.4900000,166.6000000,166.4500000,166.5600000,36880
20190503,13:20:00,166.5000000,166.5500000,166.3000000,166.5200000,66610
20190503,13:25:00,166.5100000,166.5700000,166.4300000,166.5700000,32530
20190503,13:30:00,166.5200000,166.6500000,166.5200000,166.6300000,51670
20190503,13:35:00,166.5900000,166.6600000,166.4600000,166.4600000,28970
20190503,13:40:00,166.4700000,166.4900000,166.1600000,166.2900000,100310
20190503,13:45:00,166.2500000,166.4300000,166.2500000,166.3000000,27070
20190503,13:50:00,166.3000000,166.5000000,166.2900000,166.3800000,73350
20190503,13:55:00,166.3900000,166.4500000,166.3000000,166.3000000,58870
20190503,14:00:00,166.3000000,166.3700000,166.1700000,166.2600000,77110
20190503,14:05:00,166.2500000,166.2600000,166.2200000,166.2500000,9260
20190503,14:10:00,166.2500000,166.3500000,166.1600000,166.3300000,50190
20190503,14:15:00,166.3000000,166.3400000,166.1800000,166.2400000,28090
20190503,14:20:00,166.2400000,166.3500000,166.1600000,166.2400000,64540
20190503,14:25:00,166.2300000,166.4500000,166.2000000,166.4400000,68570
20190503,14:30:00,166.4400000,166.5200000,166.3600000,166.5200000,28530
20190503,14:35:00,166.5200000,166.6000000,166.3600000,166.3600000,38450
20190503,14:40:00,166.3900000,166.4900000,166.2900000,166.3900000,40560
20190503,14:45:00,166.3900000,166.4400000,166.3100000,166.3300000,24450
20190503,14:50:00,166.3500000,166.4000000,166.2200000,166.2200000,6290
20190503,14:55:00,166.2300000,166.2700000,166.2000000,166.2100000,6370
20190503,15:00:00,166.2100000,166.3400000,166.2000000,166.2700000,10380
20190503,15:05:00,166.2700000,166.4400000,166.2700000,166.3400000,68430
20190503,15:10:00,166.3400000,166.3900000,166.3000000,166.3900000,7200
20190503,15:15:00,166.3900000,166.3900000,166.2800000,166.3000000,3610
20190503,15:20:00,166.2800000,166.3000000,166.2000000,166.2600000,32070
20190503,15:25:00,166.2300000,166.2800000,166.2200000,166.2800000,4020
20190503,15:30:00,166.2400000,166.6600000,166.2000000,166.5700000,315950
20190503,15:35:00,166.5700000,166.7000000,166.2400000,166.4000000,279460
20190503,15:40:00,166.3600000,166.4100000,166.1800000,166.3400000,115800
20190503,15:45:00,166.3200000,166.3800000,166.2500000,166.3700000,48490
20190503,15:50:00,166.3400000,166.4100000,166.2900000,166.3200000,20260
20190503,15:55:00,166.3200000,166.4400000,166.3000000,166.4200000,37290
20190503,16:00:00,166.4200000,166.4700000,166.3000000,166.3700000,62030
20190503,16:05:00,166.3700000,166.3700000,166.2600000,166.3000000,24420
20190503,16:10:00,166.2700000,166.5900000,166.1100000,166.4200000,415260
20190503,16:15:00,166.4000000,166.6800000,166.3400000,166.6400000,316260
20190503,16:20:00,166.6400000,166.6400000,165.9000000,166.0100000,515290
20190503,16:25:00,166.0000000,166.0900000,165.8500000,165.9200000,100390
20190503,16:30:00,165.9400000,166.1300000,165.8800000,166.0200000,48650
20190503,16:35:00,166.0500000,166.1300000,165.8700000,166.0500000,236060
20190503,16:40:00,166.0500000,166.1100000,165.9900000,166.0700000,64560
20190503,16:45:00,166.0600000,166.0800000,165.8800000,165.9500000,153890
20190503,16:50:00,165.9100000,166.1800000,165.8300000,166.1800000,131350
20190503,16:55:00,166.1700000,166.2700000,166.0800000,166.2500000,63370
20190503,17:00:00,166.2300000,166.2800000,166.1700000,166.2300000,63100
20190503,17:05:00,166.2300000,166.3900000,166.1000000,166.2500000,241910
20190503,17:10:00,166.2000000,166.3100000,166.2000000,166.2900000,67200
20190503,17:15:00,166.2600000,166.3500000,166.0700000,166.0900000,94700
20190503,17:20:00,166.1200000,166.3600000,166.1100000,166.2400000,80870
20190503,17:25:00,166.3000000,166.4900000,166.3000000,166.3700000,205070
20190503,17:30:00,166.3700000,166.6000000,166.3600000,166.5800000,138600
